,id,movie keywords,movie budget,movie genre,movie original language,movie release date,movie revenue,movie runtime,movie spoken languages,vote_average,movie title,movie rating,book authors,book rating,book pages,book ratings count,book publisher,book ratings sum,movie return
0,4584,"[{'id': 420, 'name': 'bowling'}, {'id': 818, 'name': 'based on novel'}, {'id': 964, 'name': 'servant'}, {'id': 2755, 'name': 'country life'}, {'id': 7564, 'name': 'jane austen'}, {'id': 10911, 'name': 'inheritance'}, {'id': 11109, 'name': 'military officer'}, {'id': 15060, 'name': 'period drama'}, {'id': 156507, 'name': 'rainstorm'}, {'id': 156510, 'name': 'horse and carriage'}, {'id': 156512, 'name': 'decorum'}]",16500000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,1995-12-13,135000000.0,136.0,"[{'iso_639_1': 'en', 'name': 'English'}]",7.2,Sense and Sensibility,3.95,Jane Austen/Claudia L. Johnson,4.07,269,768,W. W. Norton & Company,1773,8.181818181818182
1,10533,"[{'id': 818, 'name': 'based on novel'}, {'id': 2871, 'name': 'burning of witches'}, {'id': 10223, 'name': 'puritan'}, {'id': 13149, 'name': 'pregnancy'}, {'id': 15060, 'name': 'period drama'}, {'id': 34094, 'name': 'extramarital affair'}]",50000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}]",en,1995-10-13,10382407.0,135.0,"[{'iso_639_1': 'en', 'name': 'English'}]",5.5,The Scarlet Letter,2.69,Nathaniel Hawthorne/Thomas E. Connolly/Nina Baym,3.4,279,609586,Penguin Books,11030,0.20764814
5,274,"[{'id': 818, 'name': 'based on novel'}, {'id': 6259, 'name': 'psychopath'}, {'id': 8087, 'name': 'horror'}, {'id': 9937, 'name': 'suspense'}, {'id': 10714, 'name': 'serial killer'}, {'id': 12565, 'name': 'psychological thriller'}, {'id': 14895, 'name': 'cannibal'}, {'id': 18525, 'name': 'fbi agent'}, {'id': 33872, 'name': 'animal in cast credits'}, {'id': 208048, 'name': 'cannibalism'}]",19000000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",en,1991-02-01,272742922.0,119.0,"[{'iso_639_1': 'en', 'name': 'English'}]",8.1,The Silence of the Lambs,4.15,Yvonne Tasker,4.27,96,510,British Film Institute,17451,14.354890631578947
6,10539,"[{'id': 818, 'name': 'based on novel'}, {'id': 2105, 'name': 'garden'}, {'id': 2143, 'name': 'loss of parents'}, {'id': 2343, 'name': 'magic'}, {'id': 6894, 'name': 'aunt'}, {'id': 15101, 'name': ""based on children's book""}, {'id': 192942, 'name': 'insects'}]",38000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",en,1996-04-12,28921264.0,79.0,"[{'iso_639_1': 'en', 'name': 'English'}]",6.2,James and the Giant Peach,3.29,Roald Dahl/Quentin Blake,4.01,146,328542,Alfred A. Knopf,2544,0.7610858947368421
7,627,"[{'id': 212, 'name': 'london england'}, {'id': 567, 'name': 'alcohol'}, {'id': 572, 'name': 'sex'}, {'id': 818, 'name': 'based on novel'}, {'id': 1803, 'name': 'drug addiction'}, {'id': 2231, 'name': 'drug dealer'}, {'id': 2334, 'name': 'nightclub'}, {'id': 2375, 'name': 'junkie'}, {'id': 2671, 'name': 'heroin'}, {'id': 2694, 'name': 'cold turkey'}, {'id': 3131, 'name': 'modern society'}, {'id': 3298, 'name': 'hallucination'}, {'id': 6054, 'name': 'friendship'}, {'id': 9887, 'name': 'surrealism'}, {'id': 10123, 'name': 'dark comedy'}, {'id': 10261, 'name': 'stealing'}, {'id': 11635, 'name': 'monologue'}, {'id': 34117, 'name': 'cult film'}, {'id': 155936, 'name': 'recovering drug addict'}, {'id': 156117, 'name': 'illegal drugs'}, {'id': 168179, 'name': 'drug deal'}, {'id': 180431, 'name': 'drug rehabilitation'}, {'id': 206829, 'name': 'drug culture'}, {'id': 230607, 'name': 'antihero'}]",4000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",en,1996-02-23,16491080.0,93.0,"[{'iso_639_1': 'en', 'name': 'English'}]",7.8,Trainspotting,4.01,Murray Smith,4.03,96,75,British Film Institute,555995,4.12277
8,630,"[{'id': 616, 'name': 'witch'}, {'id': 704, 'name': 'adolescence'}, {'id': 818, 'name': 'based on novel'}, {'id': 1308, 'name': 'secret identity'}, {'id': 1507, 'name': 'clock'}, {'id': 1566, 'name': 'dream'}, {'id': 2043, 'name': 'lion'}, {'id': 2213, 'name': 'tornado'}, {'id': 3151, 'name': 'scarecrow'}, {'id': 4344, 'name': 'musical'}, {'id': 4639, 'name': 'crow'}, {'id': 6027, 'name': 'music'}, {'id': 7658, 'name': 'kansas'}, {'id': 11020, 'name': 'classic'}, {'id': 11409, 'name': 'imaginary land'}, {'id': 13001, 'name': 'cowardliness'}, {'id': 191616, 'name': 'sepia color'}]",2777000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",en,1939-08-15,33754967.0,102.0,"[{'iso_639_1': 'en', 'name': 'English'}]",7.4,The Wizard of Oz,3.95,Salman Rushdie/Richard Maltby/Melvyn Bragg,4,69,749,British Film Institute,729564,12.15519157364062
9,223,"[{'id': 660, 'name': 'monte carlo'}, {'id': 818, 'name': 'based on novel'}, {'id': 965, 'name': 'age difference'}, {'id': 1328, 'name': 'secret'}, {'id': 1523, 'name': 'obsession'}, {'id': 3582, 'name': 'bride'}, {'id': 8079, 'name': 'cornwall'}, {'id': 9673, 'name': 'love'}, {'id': 9937, 'name': 'suspense'}, {'id': 11004, 'name': 'rural setting'}, {'id': 14769, 'name': 'devotion'}, {'id': 17997, 'name': 'housekeeper'}, {'id': 34079, 'name': 'death'}, {'id': 155881, 'name': 'estate'}, {'id': 188990, 'name': 'costume party'}, {'id': 195402, 'name': 'film noir'}, {'id': 228602, 'name': 'second wife'}]",1288000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",en,1940-04-12,6000000.0,130.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",7.7,Rebecca,4.07,Daphne du Maurier/Sally Beauman,4.23,441,179639,Virago Press (UK),94648,4.658385093167702
10,595,"[{'id': 577, 'name': 'black people'}, {'id': 818, 'name': 'based on novel'}, {'id': 1155, 'name': 'brother sister relationship'}, {'id': 1412, 'name': 'becoming an adult'}, {'id': 1533, 'name': 'isolation'}, {'id': 1679, 'name': 'arbitrary law'}, {'id': 1952, 'name': 'socially deprived family'}, {'id': 2005, 'name': 'tree house'}, {'id': 2325, 'name': 'wrong accusal'}, {'id': 3009, 'name': 'farm worker'}, {'id': 3010, 'name': 'intolerance'}, {'id': 3011, 'name': 'exclusion'}, {'id': 3012, 'name': 'court case'}, {'id': 6094, 'name': 'defence'}, {'id': 6145, 'name': 'right and justice'}, {'id': 6148, 'name': 'court'}, {'id': 208349, 'name': 'child'}]",2000000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",en,1962-12-25,13129846.0,129.0,"[{'iso_639_1': 'en', 'name': 'English'}]",7.9,To Kill a Mockingbird,4.16,Harper Lee,4.27,323,10524,Harper Perennial Modern Classics,844,6.564923
11,235,"[{'id': 818, 'name': 'based on novel'}, {'id': 6054, 'name': 'friendship'}, {'id': 10683, 'name': 'coming of age'}, {'id': 169875, 'name': 'railroad track'}, {'id': 169878, 'name': 'story within the story'}, {'id': 169885, 'name': '\xa0flipping coin'}, {'id': 169886, 'name': 'campfire story'}, {'id': 169887, 'name': 'reference to superman'}, {'id': 169895, 'name': 'normandy beach'}, {'id': 208349, 'name': 'child'}, {'id': 208611, 'name': '1950s'}, {'id': 216919, 'name': 'boys'}]",8000000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",en,1986-08-22,52287414.0,89.0,"[{'iso_639_1': 'en', 'name': 'English'}]",7.8,Stand by Me,3.99,Raynold Gideon,4.32,96,1436,Columbia Pictures Pubns,425253,6.53592675
12,7340,"[{'id': 818, 'name': 'based on novel'}, {'id': 1227, 'name': 'cemetery'}, {'id': 1533, 'name': 'isolation'}, {'id': 1674, 'name': 'stage'}, {'id': 2483, 'name': 'nudity'}, {'id': 3036, 'name': 'bible'}, {'id': 5086, 'name': 'telekinesis'}, {'id': 9748, 'name': 'revenge'}, {'id': 10048, 'name': 'unrequited love'}, {'id': 10266, 'name': 'prom'}, {'id': 10508, 'name': 'teacher'}, {'id': 10873, 'name': 'school'}, {'id': 11001, 'name': 'religion'}, {'id': 14624, 'name': 'cruelty'}, {'id': 14687, 'name': 'extreme violence'}, {'id': 14837, 'name': 'rage'}, {'id': 33740, 'name': 'humiliation'}, {'id': 41380, 'name': 'crucifix'}, {'id': 164346, 'name': 'praying'}, {'id': 170356, 'name': 'outsider'}, {'id': 173971, 'name': 'taunting'}, {'id': 222314, 'name': 'abusive mother'}, {'id': 226602, 'name': 'firestorm'}]",1800000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",en,1976-11-03,33800000.0,98.0,"[{'iso_639_1': 'en', 'name': 'English'}]",7.0,Carrie,3.43,Stephen King,3.96,253,2707,Pocket Books,138,18.77777777777778
14,68924,"[{'id': 818, 'name': 'based on novel'}, {'id': 1228, 'name': '1970s'}, {'id': 4543, 'name': 'thanksgiving'}, {'id': 10041, 'name': 'dysfunctional family'}, {'id': 10183, 'name': 'independent film'}]",18000000.0,"[{'id': 18, 'name': 'Drama'}]",en,1997-09-27,8038061.0,112.0,"[{'iso_639_1': 'en', 'name': 'English'}]",6.9,The Ice Storm,3.77,Rick Moody,3.66,288,4592,Back Bay Books,4844,0.44655894444444444
15,19931,"[{'id': 818, 'name': 'based on novel'}, {'id': 10707, 'name': 'mother daughter relationship'}, {'id': 13159, 'name': 'chinese'}, {'id': 18035, 'name': 'family'}, {'id': 179485, 'name': 'chinese american'}]",11000000.0,"[{'id': 18, 'name': 'Drama'}]",en,1993-09-08,32861136.0,139.0,"[{'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'zh', 'name': '普通话'}]",7.1,The Joy Luck Club,3.69,Amy Tan,3.92,288,565524,Penguin Books,8982,2.987376
18,24808,"[{'id': 291, 'name': 'circus'}, {'id': 616, 'name': 'witch'}, {'id': 818, 'name': 'based on novel'}, {'id': 952, 'name': 'lightning'}, {'id': 1566, 'name': 'dream'}, {'id': 2158, 'name': 'maze'}, {'id': 2857, 'name': 'elephant'}, {'id': 3199, 'name': 'clown'}, {'id': 3473, 'name': 'carnival'}, {'id': 3986, 'name': 'spider'}, {'id': 4252, 'name': 'black magic'}, {'id': 5202, 'name': 'boy'}, {'id': 11181, 'name': 'decapitation'}, {'id': 14527, 'name': 'storm'}, {'id': 14792, 'name': 'tarantula'}, {'id': 33505, 'name': 'gothic'}, {'id': 163075, 'name': 'sideshow'}, {'id': 166109, 'name': 'child murder'}, {'id': 178883, 'name': 'autumn'}, {'id': 230951, 'name': 'lightning rod'}]",19000000.0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",en,1983-04-29,5656087.0,95.0,"[{'iso_639_1': 'en', 'name': 'English'}]",6.6,Something Wicked This Way Comes,3.39,Ray Bradbury,3.94,293,834,Bookspan,5470,0.2976887894736842
19,10489,"[{'id': 818, 'name': 'based on novel'}, {'id': 3300, 'name': 'cadillac'}, {'id': 8874, 'name': ""st. bernard's dog""}, {'id': 9862, 'name': 'dam'}, {'id': 10471, 'name': 'cult favorite'}, {'id': 13092, 'name': 'corpse'}, {'id': 18064, 'name': 'singing in a car'}, {'id': 158303, 'name': 'rabies'}, {'id': 158307, 'name': 'rabid dog'}, {'id': 158317, 'name': 'rabbit hole'}, {'id': 199236, 'name': 'mad dog'}]",5000000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",en,1983-08-10,21200000.0,91.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'hu', 'name': 'Magyar'}]",5.7,Cujo,2.76,Stephen King,3.71,432,197993,Plaza y Janés,1045,4.24
20,138,"[{'id': 272, 'name': 'transylvania'}, {'id': 818, 'name': 'based on novel'}, {'id': 1299, 'name': 'monster'}, {'id': 3098, 'name': 'castle'}, {'id': 3133, 'name': 'vampire'}, {'id': 3633, 'name': 'dracula'}, {'id': 3986, 'name': 'spider'}, {'id': 6932, 'name': 'count'}, {'id': 10181, 'name': 'based on play or musical'}, {'id': 10327, 'name': 'undead'}, {'id': 10482, 'name': 'sanitarium'}, {'id': 155489, 'name': 'classic horror'}, {'id': 193227, 'name': 'lunatic'}]",355000.0,"[{'id': 27, 'name': 'Horror'}]",en,1931-02-12,1012189.0,72.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'hu', 'name': 'Magyar'}]",7.2,Dracula,3.69,Bram Stoker/Jan Needle/Gary Blythe,3.99,336,73,Walker Books Ltd,197993,2.8512366197183097
21,10349,"[{'id': 798, 'name': 'sheriff'}, {'id': 818, 'name': 'based on novel'}, {'id': 1936, 'name': 'blackmail'}, {'id': 3096, 'name': 'book'}, {'id': 3125, 'name': 'razor'}, {'id': 8802, 'name': 'pseudonym'}, {'id': 9181, 'name': 'alter ego'}, {'id': 9927, 'name': 'maine'}, {'id': 10818, 'name': 'author'}, {'id': 14512, 'name': 'new york city'}, {'id': 18035, 'name': 'family'}, {'id': 166512, 'name': 'graveyard'}, {'id': 183515, 'name': 'high toned'}, {'id': 188989, 'name': 'supernatural power'}]",15000000.0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 27, 'name': 'Horror'}]",en,1993-04-23,10611160.0,122.0,"[{'iso_639_1': 'en', 'name': 'English'}]",5.4,The Dark Half,2.8,Stephen King,3.77,469,110131,New English Library,2433,0.7074106666666666
23,497,"[{'id': 531, 'name': 'southern usa'}, {'id': 577, 'name': 'black people'}, {'id': 791, 'name': 'mentally disabled'}, {'id': 818, 'name': 'based on novel'}, {'id': 2499, 'name': 'heal'}, {'id': 2501, 'name': 'death row'}, {'id': 2881, 'name': 'jail guard'}, {'id': 5571, 'name': 'great depression'}, {'id': 9774, 'name': 'prison guard'}, {'id': 11263, 'name': 'electric chair'}, {'id': 156597, 'name': 'magic realism'}, {'id': 167696, 'name': 'healing'}, {'id': 180162, 'name': 'death row inmate'}, {'id': 214548, 'name': '1930s'}]",60000000.0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",en,1999-12-10,284600000.0,189.0,"[{'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'en', 'name': 'English'}]",8.2,The Green Mile,4.02,Stephen King,4.44,592,207869,Penguin Signet,11981,4.743333333333333
26,1359,"[{'id': 818, 'name': 'based on novel'}, {'id': 5636, 'name': 'wall street'}, {'id': 6259, 'name': 'psychopath'}, {'id': 174075, 'name': 'white collar'}, {'id': 174076, 'name': 'harvard business school'}, {'id': 174085, 'name': 'child of divorce'}, {'id': 174089, 'name': 'unreliable narrator'}, {'id': 187056, 'name': 'woman director'}, {'id': 217076, 'name': 'voice imitation'}]",7000000.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",en,2000-04-13,34266564.0,102.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}, {'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}]",7.3,American Psycho,3.57,Bret Easton Ellis,3.82,399,844,Picador,333332,4.895223428571429
28,10339,"[{'id': 818, 'name': 'based on novel'}, {'id': 1316, 'name': 'captain'}, {'id': 1422, 'name': 'boat'}, {'id': 1523, 'name': 'obsession'}, {'id': 2580, 'name': 'shipwreck'}, {'id': 4327, 'name': 'stroke of fate'}, {'id': 4676, 'name': 'whale'}, {'id': 7240, 'name': 'walrus'}, {'id': 9748, 'name': 'revenge'}]",4500000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]",en,1956-06-27,10400000.0,116.0,"[{'iso_639_1': 'en', 'name': 'English'}]",6.9,Moby Dick,3.58,Herman Melville/William Hootkins,3.5,25,67,Naxos Audiobooks,984,2.311111111111111
31,2637,"[{'id': 818, 'name': 'based on novel'}, {'id': 1415, 'name': 'small town'}, {'id': 1566, 'name': 'dream'}, {'id': 2669, 'name': 'motel'}, {'id': 3298, 'name': 'hallucination'}, {'id': 3450, 'name': 'bridge'}, {'id': 4862, 'name': 'alien life-form'}, {'id': 4949, 'name': 'warning'}, {'id': 6622, 'name': 'tumor'}, {'id': 8232, 'name': 'west virginia'}, {'id': 9955, 'name': 'urban legend'}, {'id': 10170, 'name': 'premonition'}, {'id': 10904, 'name': 'telephone call'}, {'id': 11612, 'name': 'hospital'}, {'id': 12193, 'name': 'reporter'}, {'id': 14742, 'name': 'psychic'}, {'id': 15198, 'name': 'car wreck'}, {'id': 208397, 'name': 'death of wife'}, {'id': 230413, 'name': 'mothman'}, {'id': 238137, 'name': 'mysterious events'}, {'id': 238138, 'name': 'chemical plant'}]",32000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]",en,2002-01-25,55157539.0,119.0,"[{'iso_639_1': 'en', 'name': 'English'}]",6.1,The Mothman Prophecies,3.09,John A. Keel,3.54,352,117,Hodder & Stoughton,196135,1.72367309375
32,10229,"[{'id': 818, 'name': 'based on novel'}, {'id': 4333, 'name': 'theatre group'}, {'id': 5922, 'name': 'north carolina'}, {'id': 6034, 'name': 'theatre milieu'}, {'id': 6270, 'name': 'high school'}, {'id': 10163, 'name': 'cancer'}, {'id': 10683, 'name': 'coming of age'}, {'id': 10703, 'name': 'tragic love'}, {'id': 13130, 'name': 'teenager'}, {'id': 165086, 'name': 'star crossed lovers'}]",11000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,2002-01-25,41227069.0,101.0,"[{'iso_639_1': 'en', 'name': 'English'}]",7.5,A Walk to Remember,3.43,Nicholas Sparks,4.17,240,555995,Grand Central Publishing,78510,3.7479153636363636
33,12227,"[{'id': 818, 'name': 'based on novel'}, {'id': 1321, 'name': 'gold'}, {'id': 1454, 'name': 'treasure'}, {'id': 1909, 'name': 'coffin'}, {'id': 2526, 'name': 'human animal relationship'}, {'id': 6054, 'name': 'friendship'}, {'id': 9880, 'name': 'alaska'}, {'id': 10950, 'name': 'shootout'}, {'id': 15162, 'name': 'dog'}, {'id': 162726, 'name': 'prospector'}, {'id': 180808, 'name': 'klondike'}, {'id': 189390, 'name': 'yukon'}, {'id': 189391, 'name': 'boy dog relationship'}, {'id': 189392, 'name': 'gold miner'}]",14000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",en,1991-01-18,34793160.0,107.0,"[{'iso_639_1': 'en', 'name': 'English'}]",6.5,White Fang,3.17,Jack London,3.98,252,119589,Scholastic Paperbacks,6214,2.4852257142857144
34,13768,"[{'id': 399, 'name': 'fountain of youth'}, {'id': 818, 'name': 'based on novel'}, {'id': 1328, 'name': 'secret'}, {'id': 4978, 'name': 'immortality'}, {'id': 5774, 'name': 'forest'}, {'id': 9720, 'name': 'woods'}, {'id': 10791, 'name': 'teenage crush'}, {'id': 10809, 'name': 'teenage girl'}, {'id': 18068, 'name': 'teenage boy'}, {'id': 170587, 'name': 'mysterious stranger'}]",15000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10749, 'name': 'Romance'}, {'id': 878, 'name': 'Science Fiction'}]",en,2002-10-11,19158074.0,90.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",6.4,Tuck Everlasting,3.21,Natalie Babbitt,3.87,139,1538,Farrar Straus Giroux,55269,1.2772049333333333
39,70881,"[{'id': 818, 'name': 'based on novel'}, {'id': 2139, 'name': 'russia'}, {'id': 6038, 'name': 'marriage'}, {'id': 9673, 'name': 'love'}, {'id': 13008, 'name': 'train'}]",1152000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,1935-08-30,1439000.0,95.0,"[{'iso_639_1': 'en', 'name': 'English'}]",6.6,Anna Karenina,3.54,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,838,16643,Penguin Classics,35044,1.2491319444444444
